understat_player_id,player_code,player_name,web_name,fpl_full_name,team_codes,seasons,method,score,status,reason
5061,109745,Kepa,Arrizabalaga,Kepa Arrizabalaga Revuelta,3,2025-2026,contains_name,97.0,accepted,""
14030,560552,Kevin,Kevin,Kevin Santos Lopes de Macedo,54,"2025-2026,2026-2027",exact_web,99.0,accepted,""
5261,135720,Kevin Danso,Danso,Kevin Danso,"6,56","2025-2026,2026-2027",exact_name,100.0,accepted,""
9156,513418,Kevin Schade,Schade,Kevin Schade,94,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8351,441271,Ki-Jana Hoever,Hoever,Ki-Jana Hoever,39,2025-2026,exact_name,100.0,accepted,""
652,77794,Kieran Trippier,Trippier,Kieran Trippier,4,2025-2026,exact_name,100.0,accepted,""
9739,215413,Kiernan Dewsbury-Hall,Dewsbury-Hall,Kiernan Dewsbury-Hall,11,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9960,240514,Kjell Scherpen,Scherpen,Kjell Scherpen,40,2026-2027,exact_name,100.0,accepted,""
11174,516895,Kobbie Mainoo,Mainoo,Kobbie Mainoo,1,"2025-2026,2026-2027",exact_name,100.0,accepted,""
6722,233963,Konstantinos Mavropanos,Mavropanos,Konstantinos Mavropanos,21,2025-2026,exact_name,100.0,accepted,""
8852,214285,Konstantinos Tsimikas,Tsimikas,Kostas Tsimikas,14,2026-2027,last_initial,96.0,accepted,""
14758,473284,Konstantinos Tzolakis,Tzolakis,Konstantinos Tzolakis,88,2026-2027,exact_name,100.0,accepted,""
9677,191866,Kristoffer Ajer,Ajer,Kristoffer Ajer,94,"2025-2026,2026-2027",exact_name,100.0,accepted,""
638,58621,Kyle Walker,Walker,Kyle Walker,90,2025-2026,exact_name,100.0,accepted,""
885,158534,Kyle Walker-Peters,Walker-Peters,Kyle Walker-Peters,21,2025-2026,exact_name,100.0,accepted,""
12721,431248,Ladislav Krejcí,Krejčí,Ladislav Krejcí,39,2025-2026,exact_name,100.0,accepted,""
10025,515597,Lamare Bogarde,Bogarde,Lamare Bogarde,7,"2025-2026,2026-2027",exact_name,100.0,accepted,""
7698,116216,Leandro Trossard,Trossard,Leandro Trossard,3,2025-2026,exact_name,100.0,accepted,""
8919,455084,Leif Davis,Davis,Leif Davis,40,2026-2027,exact_name,100.0,accepted,""
10564,550864,Leny Yoro,Yoro,Leny Yoro,1,"2025-2026,2026-2027",exact_name,100.0,accepted,""
5221,215711,Leon Bailey,Bailey,Leon Bailey,7,2025-2026,exact_name,100.0,accepted,""
10805,460028,Levi Colwill,Colwill,Levi Samuels Colwill,8,"2025-2026,2026-2027",last_initial,96.0,accepted,""
14759,193278,Lewie Coyle,Coyle,Lewie Coyle,88,2026-2027,exact_name,100.0,accepted,""
1789,155408,Lewis Cook,Cook,Lewis Cook,91,"2025-2026,2026-2027",exact_name,100.0,accepted,""
